bn_ssa_bn_hasanta_bn_pha.cjct ,,
bn_ssa_bn_hasanta_bn_tta_bn_ra.cjct,,
bn_ssa_bn_hasanta_bn_tta.cjct ,,
bn_ssa_bn_hasanta_bn_ttha.cjct ,,
bn_ssa_bn_hasanta._bn_pa.cjct ,,
bn_sa_bn_hasanta_bn_ba.cjct ,,
bn_sa_bn_hasanta_bn_ka_bn_ra.cjct,,
bn_sa_bn_hasanta_bn_ka.cjct ,,
bn_sa_bn_hasanta_bn_kha.cjct ,,
bn_sa_bn_hasanta_bn_la.cjct ,,
bn_sa_bn_hasanta_bn_ma.cjct ,,
bn_sa_bn_hasanta_bn_na.cjct ,,
bn_sa_bn_hasanta_bn_pa_bn_ra.vatu ,,
bn_sa_bn_hasanta_bn_pa.cjct ,,
bn_sa_bn_hasanta_bn_pha.cjct ,,
bn_sa_bn_hasanta_bn_ta_bn_ra.cjct,,
bn_sa_bn_hasanta_bn_ta.cjct ,,
bn_sa_bn_hasanta_bn_tha.cjct ,,
bn_sa_bn_hasanta_bn_tta.cjct ,,
bn_sa_bn_hasanta.bn_tta_bn_ra.cjct,,
bn_rra_bn_hasanta_bn_ga.cjct ,,
bn_ha_bn_hasanta_bn_ba.cjct ,,
bn_ha_bn_hasanta_bn_la.cjct ,,
bn_ha_bn_hasanta_bn_ma.cjct ,,
bn_ha_bn_hasanta_bn_na.cjct ,,
bn_ha_bn_hasanta_bn_nna.cjct ,,
,,
bn_ka_bn_hasanta.half ,,
bn_kha_bn_hasanta.half ,,
bn_ga_bn_hasanta.half ,,
bn_gha_bn_hasanta.half ,,
bn_nga_bn_hasanta.half ,,
bn_ca_bn_hasanta.half ,,
bn_cha_bn_hasanta.half ,,
bn_ja_bn_hasanta.half ,,
bn_jha_bn_hasanta.half ,,
bn_nya_bn_hasanta.half ,,
bn_tta_bn_hasanta.half ,,
bn_ttha_bn_hasanta.half ,,
bn_dda_bn_hasanta.half ,,
bn_ddha_bn_hasanta.half ,,
bn_nna_bn_hasanta.half ,,
bn_ta_bn_hasanta.half ,,
bn_tha_bn_hasanta.half ,,
bn_da_bn_hasanta.half ,,
bn_dha_bn_hasanta.half ,,
bn_na_bn_hasanta.half ,,
bn_pa_bn_hasanta.half ,,
bn_pha_bn_hasanta.half ,,
bn_ba_bn_hasanta.half ,,
bn_bha_bn_hasanta.half ,,
bn_ma_bn_hasanta.half ,,
bn_ya_bn_hasanta.half ,,
bn_ra_bn_hasanta.half ,,
bn_sha_bn_hasanta.half ,,
bn_ssa_bn_hasanta.half ,,
bn_sa_bn_hasanta.half ,,
bn_ha_bn_hasanta.half ,,
bn_rra_bn_hasanta.half ,,
bn_rha_bn_hasanta.half ,,
bn_ya_bn_hasanta.half ,,
,,
bn_ka_bn_hasanta.haln ,,
bn_kha_bn_hasanta.hln ,,
bn_kha_bn_hasanta.haln ,,
bn_gha_bn_hasanta.haln ,,
bn_nga_bn_hasanta.haln ,,
bn_ca_bn_hasanta.haln ,,
bn_cha_bn_hasanta.haln ,,
bn_ja_bn_hasanta.haln ,,
bn_jha_bn_hasanta.haln ,,
bn_nya_bn_hasanta.haln ,,
bn_tta_bn_hasanta.haln ,,
bn_ttha_bn_hasanta.haln ,,
bn_dda_bn_hasanta.haln ,,
bn_ddha_bn_hasanta.haln ,,
bn_nna_bn_hasanta.haln ,,
bn_ta_bn_hasanta.haln ,,
bn_tha_bn_hasanta.haln ,,
bn_da_bn_hasanta.haln ,,
bn_dha_bn_hasanta.haln ,,
bn_na_bn_hasanta.haln ,,
bn_pa_bn_hasanta.haln ,,
bn_pha_bn_hasanta.haln ,,
bn_ba_bn_hasanta.haln ,,
bn_bha_bn_hasanta.haln ,,
bn_ma_bn_hasanta.haln ,,
bn_ya_bn_hasanta.haln ,,
bn_ra_bn_hasanta.haln ,,
bn_la_bn_hasanta.haln ,,
bn_sha_bn_hasanta.haln ,,
bn_ssa_bn_hasanta.haln ,,
bn_sa_bn_hasanta.haln ,,
bn_ha_bn_hasanta.haln ,,
bn_rra_bn_hasanta.haln ,,
bn_rha_bn_hasanta.haln ,,
bn_ja_bn_hasanta_bn_nya_bn_hasanta.haln ,,
bn_ka_bn_hasanta_bn_ssa_bn_hasanta.haln,,
,,
bn_sa_bn_hasanta_bn_ta_bn_ukaar.blws ,,
,,
as_ra_bn_ukaar.blws ,,
as_ra_bn_uukaar.blws ,,
bn_ga_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_ga_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_dha_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_dha_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_pa_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_pa_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_tha_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_tha_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_ba_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_ba_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_la_bn_hasanta_bn_ga_bn_ukaar.blws ,,
bn_ga_bn_ukaar.blws ,,
bn_sha_bn_ukaar.blws ,,
bn_ra_bn_ukaar.blws ,,
bn_ra_bn_uukaar.blws ,,
bn_ta_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_ta_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_da_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_da_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_bha_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_bha_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_sha_bn_rakaar.vatu_bn_ukaar.blws ,,
bn_sha_bn_rakaar.vatu_bn_uukaar.blws ,,
bn_ha_bn_ukaar.blws ,,
bn_ha_bn_rikaar.blws ,,
,,
bn_i_bn_candrabindu.abvs ,,
bn_ii_bn_candrabindu.abvs ,,
bn_u_bn_candrabindu.abvs ,,
bn_uu_bn_candrabindu.abvs ,,
bn_tta_bn_candrabindu.abvs ,,
bn_ttha_bn_candrabindu.abvs ,,
bn_iikaar_bn_candrabindu.abvs ,,
bn_iikaar_bn_ra_bn_hasanta.rphf.abvs ,,
bn_ikaar_bn_candrabindu.abvs ,,
bn_iikaar_bn_ra_bn_hasanta.rphf.abvs ,,
bn_aumark_bn_candrabindu.abvs ,,
bn_aumark_bn_ra_bn_hasanta.rphf.abvs ,,
,,
bn_ek_slash_bn_dui.afrc ,,
bn_ek_slash_bn_tin.afrc ,,
bn_ek_slash_bn_caar.afrc ,,
bn_ek_slash_bn_aatt.afrc ,,
bn_dui_slash_bn_tin.afrc ,,
bn_tin_slash_bn_caar.afrc ,,
,,
GDEF _Substitutions ,,
,,
bn_ka_bn_hasanta_bn_ta.salt ,,
bn_ha_bn_hasanta_bn_ma.salt ,,
bn_nga_bn_hasanta_bn_ga.salt ,,
bn_ka_ bn_rakaar.salt ,,
bn_nga_bn_hasanta_bn_ka.salt ,,
bn_ta_bn_rakaar.salt ,,
bn_sa_bn_hasanta_bn_ka_bn_rakaar.salt ,,
bn_sa_bn_hasanta_bn_ta_bn_rakaar.salt ,,
bn_ikaar.salt ,,
bn_iikaar.salt ,,
bn_candrabindu.salt ,,
bn_nya_bn_hasanta_bn_ca.salt ,,
